MODEL_ID,POPULATION_ID,OBSERVATION_ID,SCORE
eltm-pop-1,1,115,0.12178734
eltm-pop-1,1,116,0.16583808
eltm-pop-1,1,117,0.16583808
eltm-pop-1,1,118,0.10631182
eltm-pop-1,1,119,0.036638644
eltm-pop-1,1,120,0.31007615
eltm-pop-1,1,121,0.31007615
eltm-pop-1,1,122,0.16583808
eltm-pop-1,1,123,0.12698357
eltm-pop-1,1,124,0.31007615
eltm-pop-1,1,125,0.12178734
eltm-pop-1,1,126,0.12178734
eltm-pop-1,1,127,0.026906505
eltm-pop-1,1,128,0.036638644
eltm-pop-1,1,129,0.16583808
eltm-pop-1,1,130,0.31007615
eltm-pop-1,1,131,0.036638644
eltm-pop-1,1,132,0.12698357
eltm-pop-1,1,133,0.31007615
eltm-pop-1,1,134,0.31007615
eltm-pop-1,1,135,0.31007615
eltm-pop-1,1,136,0.16583808
eltm-pop-1,1,137,0.04109443
eltm-pop-1,1,138,0.12178734
eltm-pop-1,1,139,0.10631182
eltm-pop-1,1,140,0.16583808
eltm-pop-1,1,141,0.04109443
eltm-pop-1,1,142,0.12698357
eltm-pop-1,1,143,0.16583808
eltm-pop-1,1,144,0.16583808
eltm-pop-1,1,145,0.31007615
eltm-pop-1,1,146,0.31007615
eltm-pop-1,1,147,0.16583808
eltm-pop-1,1,148,0.31007615
eltm-pop-1,1,149,0.04109443
eltm-pop-1,1,150,0.16583808
eltm-pop-1,1,151,0.10631182
eltm-pop-1,1,152,0.036638644
eltm-pop-1,1,153,0.16583808
eltm-pop-1,1,154,0.04109443
eltm-pop-1,1,155,0.12698357
eltm-pop-1,1,156,0.10631182
eltm-pop-1,1,157,0.16583808
eltm-pop-1,1,158,0.31007615
eltm-pop-1,1,159,0.011812424
eltm-pop-1,1,160,0.12698357
eltm-pop-1,1,161,0.10631182
eltm-pop-1,1,162,0.026906505
eltm-pop-1,1,163,0.10631182
eltm-pop-1,1,164,0.011570099
eltm-pop-1,1,165,0.12178734
eltm-pop-1,1,166,0.011570099
eltm-pop-1,1,167,0.014089518
eltm-pop-1,1,168,0.12698357
eltm-pop-1,1,169,0.036638644
eltm-pop-1,1,170,0.16583808
eltm-pop-1,1,171,0.16583808
eltm-pop-1,1,172,0.16583808
eltm-pop-1,1,173,0.12178734
eltm-pop-1,1,174,0.31007615
eltm-pop-1,1,175,0.16583808
eltm-pop-1,1,176,0.31007615
eltm-pop-1,1,177,0.31007615
eltm-pop-1,1,178,0.10631182
eltm-pop-1,1,179,0.04109443
eltm-pop-1,1,180,0.10631182
